,puzzle number,algorithm,heuristic,length of the search path,length of the solution,Execution time (seconds)
0,game47,A*,h2,8.0,3.0,0.010385
1,game28,gbfs,h3,0.0,1.0,0.00282
2,game11,ucs,NA,4.0,2.0,0.002727
3,game7,A*,h4,3.0,3.0,0.007717
4,game7,gbfs,h2,1.0,2.0,0.00423
5,game6,ucs,NA,0.0,1.0,0.001187
6,game37,A*,h3,2.0,3.0,0.005463
7,game5,gbfs,h4,4.0,4.0,0.006789
8,game18,ucs,NA,181.0,4.0,0.040831
9,game50,A*,h1,0.0,1.0,0.002976
10,game27,gbfs,h1,51.0,15.0,0.062337
11,game47,ucs,NA,18.0,3.0,0.003684
12,game47,A*,h3,3.0,3.0,0.005811
13,game11,gbfs,h1,1.0,2.0,0.005252
14,game7,ucs,NA,4.0,2.0,0.002092
15,game46,A*,h3,7.0,5.0,0.009664
16,game3,gbfs,h5,4653.0,366.0,8.707832
17,game2,ucs,NA,592.0,7.0,1.417013
18,game13,A*,h1,37.0,5.0,0.046032
19,game32,gbfs,h4,1.0,1.0,0.004005
20,game26,ucs,NA,0.0,1.0,0.001318
21,game19,A*,h1,1.0,2.0,0.004836
22,game44,gbfs,h2,22.0,6.0,0.026167
23,game19,ucs,NA,4.0,2.0,0.002674
24,game16,A*,h2,20.0,5.0,0.020837
25,game2,gbfs,h5,397.0,75.0,0.498568
26,game32,ucs,NA,0.0,1.0,0.001483
27,game42,A*,h4,21.0,6.0,0.012833
28,game5,gbfs,h3,3.0,3.0,0.00576
29,game23,ucs,NA,4.0,2.0,0.002024
30,game19,A*,h4,3.0,2.0,0.007795
31,game24,gbfs,h2,1.0,2.0,0.003706
32,game9,ucs,NA,43.0,3.0,0.009267
33,game13,A*,h2,37.0,5.0,0.045679
34,game7,gbfs,h4,3.0,3.0,0.007745
35,game48,ucs,NA,4.0,2.0,0.001573
36,game23,A*,h1,1.0,2.0,0.004415
37,game18,gbfs,h5,112.0,18.0,0.146895
38,game42,ucs,NA,21.0,6.0,0.005199
39,game5,A*,h1,7.0,3.0,0.009802
40,game5,gbfs,h1,3.0,3.0,0.005893
41,game27,ucs,NA,817.0,9.0,5.251151
42,game49,A*,h5,89.0,4.0,0.137098
43,game24,gbfs,h5,6.0,3.0,0.007987
44,game13,ucs,NA,212.0,5.0,0.082405
45,game26,A*,h4,1.0,1.0,0.004021
46,game4,gbfs,h5,48.0,8.0,0.085393
47,game3,ucs,NA,6536.0,12.0,359.674451
